key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-43,https://medium.com/@xiaoyunyang/thanks-for-this-post-8845269f500b#.mgu4s4pk0,Xiaoyun Yang,Ingredients of a successful startup pitch,My response to an article on training for venture capitalism by building an imaginary portfolio. Entrepreneurs should do this exercise too because they can improve their chances of succeeding in fundraising and building a startup if they know what investors look for.,Reading,startup,business,NULL,NULL,NULL
-44,https://jawbone.com/blog/university-students-sleep/,Quarts,An interactive chart showing the correlation between eliteness of school and how late students sleep,Students at most schools get the same amount of shut-eye on average - 7 hours and 3 minutes. But students at top-rank schools showed an intriguing patter.,Interactive,college,D3,datavis,NULL,NULL
-45,https://medium.com/@milankinen/containers-are-dead-long-live-observable-combinators-2cb0c1f06c96#.dpn08e9po,Xiaoyun Yang,ReactJS and BaconJS communication between components,Redux vs. FRP with BaconJS,Code,coding,FP,baconjs,reactjs,javascript
-46,https://medium.com/@milankinen/good-bye-flux-welcome-bacon-rx-23c71abfb1a7#.gwsy5vahe,Xiaoyun Yang,Flux vs. BaconJS,,Reading,FP,frontend,javascript,flux,baconjs
-47,https://www.quora.com/Peter-Norvig-In-what-ways-has-AI-evolved-that-you-didnt-expect-over-your-lifetime,Google,How AI evolved per Peter Novig,,Discussion,AI,CS,NULL,NULL,NULL
-48,https://www.quora.com/What-do-you-think-of-Deep-Learning-2,Google,What does the research director at Google feel about Deep Learning,"""We have recurrent networks to deal with time, and recursive networks to deal with nested structure, but it's too early to tell whether these are sufficient.""",Discussion,AI,deep learning,model,NULL,NULL
-49,https://www.quora.com/Is-there-any-place-for-software-engineers-that-do-not-learn-AI-or-Machine-Learning-in-the-next-10-years-or-does-everyone-have-to-learn-it,Google,How important is Machine Learning for software engineering?,"You don't have to be an expert of machine learning, but the better you know about machine learning, the better you will be at architecturing a solution.",Discussion,AI,software,career,NULL,NULL
-50,https://docs.google.com/presentation/d/1vUSEp6Ph6CsJlZG_FbGIDkTRwM05l2mVBM_QN1oqAHU/edit?pref=2&pli=1#slide=id.p,LooseLeaf,LooseLeaf Business Plan presentation,"What obvious serious problem we are solving, why our solution works, how we are capable of delivering the solution",Reading,startup,business,in progress,NULL,NULL
-51,https://www.quora.com/session/Peter-Norvig/1,Google,Peter Norvig's Quora Session Recap,,Website,AI,CS,software,NULL,NULL
-52,http://staltz.com/unidirectional-user-interface-architectures.html,Xiaoyun Yang,Unidirectional User Interface Architecture,"Quick overview of unidirectional data flow architecture and a comparison between Flux, Redux, Elm arch, Cycle, and BEST",Reading,frontend,webapp,software,reactjs,learning
